;;1;2;4;8;16;32
718;ann-thyroid;2;2;2;2;2;2,67409470752089
43;appendicitis;2;2,7906976744186;5,58139534883721;11,1627906976744;22,3255813953488;44,6511627906977
138;banknote;2;2;2;3,47826086956522;6,95652173913043;13,9130434782609
106;biodegradation;2;2;2,26415094339623;4,52830188679245;9,05660377358491;18,1132075471698
66;ecoli;2;2;3,63636363636364;7,27272727272727;14,5454545454545;29,0909090909091
66;glass2;2;2;3,63636363636364;7,27272727272727;14,5454545454545;29,0909090909091
71;heart-c;2;2;3,38028169014085;6,76056338028169;13,5211267605634;27,0422535211268
60;ionosphere;2;2;4;8;16;32
200;iris;2;2;2;2,4;4,8;9,6
398;karhunen;2;2;2;2;2,41206030150754;4,82412060301508
381;letter;2;2;2;2;2,51968503937008;5,03937007874016
128;magic;2;2;2;3,75;7,5;15
43;mofn-3-7-10;2;2,7906976744186;5,58139534883721;11,1627906976744;22,3255813953488;44,6511627906977
220;new-thyroid;2;2;2;2,18181818181818;4,36363636363636;8,72727272727273
540;pendigits;2;2;2;2;2;3,55555555555556
740;phoneme;2;2;2;2;2;2,59459459459459
42;ring;2;2,85714285714286;5,71428571428571;11,4285714285714;22,8571428571429;45,7142857142857
1160;segmentation;2;2;2;2;2;2
42;shuttle;2;2,85714285714286;5,71428571428571;11,4285714285714;22,8571428571429;45,7142857142857
442;sonar;2;2;2;2;2,17194570135747;4,34389140271493
54;spambase;2;2,22222222222222;4,44444444444444;8,88888888888889;17,7777777777778;35,5555555555556
550;spectf;2;2;2;2;2;3,49090909090909
103;texture;2;2;2,33009708737864;4,66019417475728;9,32038834951456;18,6407766990291
740;threeOf9;2;2;2;2;2;2,59459459459459
198;twonorm;2;2;2;2,42424242424242;4,84848484848485;9,6969696969697
500;vowel;2;2;2;2;2;3,84
500;waveform-21;2;2;2;2;2;3,84
114;waveform-40;2;2;2,10526315789474;4,21052631578947;8,42105263157895;16,8421052631579
72;wdbc;2;2;3,33333333333333;6,66666666666667;13,3333333333333;26,6666666666667
78;wine-recog;2;2;3,07692307692308;6,15384615384615;12,3076923076923;24,6153846153846
172;wpbc;2;2;2;2,7906976744186;5,58139534883721;11,1627906976744